================================================================================
カクテル材料の詳細分析結果
================================================================================
総カクテル数: 616
ユニークな材料数: 782
総材料使用回数: 2815
================================================================================

【スピリッツ】 (99種類)
------------------------------------------------------------
  ブラックベリー 3粒                       1回 (0.0%)
  ピーチシュナップス 45ml                   1回 (0.0%)
  アップルシュナップス 30ml                  1回 (0.0%)
  ストロベリー 6個                        1回 (0.0%)
  パイナップルリーフ                        1回 (0.0%)
  オレンジシュガー                         1回 (0.0%)
  キューカンバースライス 4枚                   1回 (0.0%)
  フレッシュベリー                         1回 (0.0%)

【その他】 (68種類)
------------------------------------------------------------
  砂糖                              76回 (2.7%)
  ミント                             32回 (1.1%)
  アンゴスチュラビターズ                     31回 (1.1%)
  卵白                              28回 (1.0%)
  生クリーム                           25回 (0.9%)
  塩                               16回 (0.6%)
  蜂蜜                              15回 (0.5%)
  シナモン                            14回 (0.5%)
  卵白 1個                           14回 (0.5%)
  ココナッツクリーム                       12回 (0.4%)
  アンゴスチュラビターズ 2ダッシュ               11回 (0.4%)
  バジル                              9回 (0.3%)
  氷                                7回 (0.2%)
  タイム                              4回 (0.1%)
  ローズマリー                           4回 (0.1%)
  ホイップクリーム                         4回 (0.1%)
  シナモンスティック                        4回 (0.1%)
  ココナッツミルク                         3回 (0.1%)
  バニラ                              3回 (0.1%)
  バニラアイス                           3回 (0.1%)
  ヘビークリーム 30ml                     3回 (0.1%)
  フレッシュミント                         2回 (0.1%)
  アイリッシュクリーム                       2回 (0.1%)
  クレーム・ド・ミント                       2回 (0.1%)
  ミルク                              2回 (0.1%)
  ヒマラヤ岩塩                           2回 (0.1%)
  シナモンシュガー                         2回 (0.1%)
  ミントスプリッグ                         2回 (0.1%)
  アンゴスチュラビターズ 3ダッシュ                2回 (0.1%)
  ミントスプリグ                          2回 (0.1%)
  バニラエッセンス                         1回 (0.0%)
  ペイショーズビターズ                       1回 (0.0%)
  ココナッツフレーク                        1回 (0.0%)
  サワークリーム                          1回 (0.0%)
  ホットミルク                           1回 (0.0%)
  クリームチーズ                          1回 (0.0%)
  バニラプディング                         1回 (0.0%)
  卵黄                               1回 (0.0%)
  カスタードクリーム                        1回 (0.0%)
  ココナッツオイル                         1回 (0.0%)
  キノアミルク                           1回 (0.0%)
  アーモンドミルク                         1回 (0.0%)
  ライスミルク                           1回 (0.0%)
  ペイショービターズ                        1回 (0.0%)
  ココナッツフォーム                        1回 (0.0%)
  タイバジル                            1回 (0.0%)
  ドリームクリーム                         1回 (0.0%)
  金の蜂蜜                             1回 (0.0%)
  塩・胡椒 少々                          1回 (0.0%)
  角砂糖 1個                           1回 (0.0%)
  ヘビークリーム 10ml                     1回 (0.0%)
  フレッシュミント 6枚                      1回 (0.0%)
  シナモンパウダー 少々                      1回 (0.0%)
  ヘビークリーム 15ml                     1回 (0.0%)
  クレーム・ド・ミント・ホワイト 20ml             1回 (0.0%)
  フレッシュミントスプリグ                     1回 (0.0%)
  ココナッツクリーム 90ml                   1回 (0.0%)
  フレッシュローズマリー 少々                   1回 (0.0%)
  ローズマリースプリグ                       1回 (0.0%)
  フレッシュバジル 3枚                      1回 (0.0%)
  フレッシュバジル 8枚                      1回 (0.0%)
  バジルスプリグ                          1回 (0.0%)
  フレッシュミント 8枚                      1回 (0.0%)
  アンゴスチュラビターズ 5ダッシュ                1回 (0.0%)
  タイムスプリグ                          1回 (0.0%)
  ミルク 90ml                         1回 (0.0%)
  バニラエッセンス 2滴                      1回 (0.0%)
  卵黄 1個                            1回 (0.0%)

【未分類】 (330種類)
------------------------------------------------------------
  シュガー                             9回 (0.3%)
  カンパリ                             8回 (0.3%)
  生姜                               8回 (0.3%)
  ピスコ                              8回 (0.3%)
  オリーブ                             8回 (0.3%)
  キュウリ                             8回 (0.3%)
  ローズペタル                           8回 (0.3%)
  カンパリ 30ml                        8回 (0.3%)
  バーボン 60ml                        7回 (0.2%)
  アクアビット                           6回 (0.2%)
  メスカル                             5回 (0.2%)
  カシス                              5回 (0.2%)
  クレーム・ド・カカオ                       5回 (0.2%)
  ココアパウダー                          5回 (0.2%)
  グリーンシャルトリューズ                     5回 (0.2%)
  パッションフルーツ                        5回 (0.2%)
  シソ                               5回 (0.2%)
  タバスコ                             4回 (0.1%)
  エスプレッソ                           4回 (0.1%)
  バター                              4回 (0.1%)
  ナツメグ                             4回 (0.1%)
  クローブ                             4回 (0.1%)
  ディル                              4回 (0.1%)
  日本酒                              4回 (0.1%)
  オリーブオイル                          4回 (0.1%)
  アサイ                              4回 (0.1%)
  コアントロー                           4回 (0.1%)
  ナツメグパウダー 少々                      4回 (0.1%)
  コアントロー 20ml                      4回 (0.1%)
  ウスターソース                          3回 (0.1%)
  黄シャルトリューズ                        3回 (0.1%)
  シェリー                             3回 (0.1%)
  お湯                               3回 (0.1%)
  アニゼット                            3回 (0.1%)
  マンゴーピュレ                          3回 (0.1%)
  コーヒー豆                            3回 (0.1%)
  アマーロ                             3回 (0.1%)
  練乳                               3回 (0.1%)
  クラッシュアイス                         3回 (0.1%)
  グラハムクラッカー                        3回 (0.1%)
  カルダモン                            3回 (0.1%)
  ハチミツ                             3回 (0.1%)
  スピルリナ                            3回 (0.1%)
  カカオ                              3回 (0.1%)
  クラッシュドアイス 1カップ                   3回 (0.1%)
  バーボン 45ml                        3回 (0.1%)
  リレ・ブラン 30ml                      3回 (0.1%)
  イエローシャルトリューズ                     2回 (0.1%)
  オリーブブリン                          2回 (0.1%)
  グラッパ                             2回 (0.1%)
  ミドリ                              2回 (0.1%)
  コーヒー                             2回 (0.1%)
  ガロワーズ                            2回 (0.1%)
  セントジャーメイン                        2回 (0.1%)
  ハラペーニョ                           2回 (0.1%)
  フェルネット・ブランカ                      2回 (0.1%)
  ブラウンシュガー                         2回 (0.1%)
  チリ                               2回 (0.1%)
  ライチ                              2回 (0.1%)
  リレブラン                            2回 (0.1%)
  クレーム・ド・ヴィオレット                    2回 (0.1%)
  冷水                               2回 (0.1%)
  キウイ                              2回 (0.1%)
  マスカルポーネ                          2回 (0.1%)
  桃                                2回 (0.1%)
  うめ酒                              2回 (0.1%)
  シソの葉                             2回 (0.1%)
  クルミ                              2回 (0.1%)
  マンゴー                             2回 (0.1%)
  グレナデン                            2回 (0.1%)
  アールグレイティー                        2回 (0.1%)
  エディブルフラワー                        2回 (0.1%)
  ウゾ                               2回 (0.1%)
  フェタチーズ                           2回 (0.1%)
  デーツ                              2回 (0.1%)
  ピスタチオ                            2回 (0.1%)
  緑茶                               2回 (0.1%)
  竹の葉                              2回 (0.1%)
  キノア                              2回 (0.1%)
  ユーカリ                             2回 (0.1%)
  チアシード                            2回 (0.1%)
  ゴールドフレーク                         2回 (0.1%)
  ゴールドリーフ                          2回 (0.1%)
  カラメルソース                          2回 (0.1%)
  グリーンティー                          2回 (0.1%)
  ユズコショウ                           2回 (0.1%)
  バーボン                             2回 (0.1%)
  ユズ                               2回 (0.1%)
  エルダーフラワー                         2回 (0.1%)
  タバスコ 数滴                          2回 (0.1%)
  ウスターソース 数滴                       2回 (0.1%)
  コアントロー 15ml                      2回 (0.1%)
  ハチミツ 15ml                        2回 (0.1%)
  クレーム・ド・カカオ・ホワイト 30ml             2回 (0.1%)
  カンパリ 5ml                         2回 (0.1%)
  ハチミツ 20ml                        2回 (0.1%)
  ドラマブイ 20ml                       2回 (0.1%)
  胡椒                               1回 (0.0%)
  テストスピリッツ                         1回 (0.0%)
  テストミキサー                          1回 (0.0%)
  アメールピコン                          1回 (0.0%)
  アマーロ・ノニーノ                        1回 (0.0%)
  アマーロ・アヴェルナ                       1回 (0.0%)
  ドランブイ                            1回 (0.0%)
  フェルネットブランカ                       1回 (0.0%)
  黒糖                               1回 (0.0%)
  梅酒                               1回 (0.0%)
  柚子                               1回 (0.0%)
  ミリン                              1回 (0.0%)
  味醂                               1回 (0.0%)
  シャルトリューズ                         1回 (0.0%)
  ペルノ                              1回 (0.0%)
  リモンチェッロ                          1回 (0.0%)
  パッションフルーツピュレ                     1回 (0.0%)
  ベイリーズ                            1回 (0.0%)
  ディサロノ                            1回 (0.0%)
  フランジェリコ                          1回 (0.0%)
  エッグノッグ                           1回 (0.0%)
  クレーム・ド・ノワイエ                      1回 (0.0%)
  カイエンペッパー                         1回 (0.0%)
  チリペッパー                           1回 (0.0%)
  ワサビ                              1回 (0.0%)
  醤油                               1回 (0.0%)
  ホットソース                           1回 (0.0%)
  アヒアマリージョ                         1回 (0.0%)
  ウアカタイ                            1回 (0.0%)
  サングリータ                           1回 (0.0%)
  アグアルディエンテ                        1回 (0.0%)
  パピトン                             1回 (0.0%)
  ベネディクティン                         1回 (0.0%)
  焼酎                               1回 (0.0%)
  柚子茶                              1回 (0.0%)
  炭酸水                              1回 (0.0%)
  ベトナムコーヒー                         1回 (0.0%)
  カラマンシー                           1回 (0.0%)
  ガランガル                            1回 (0.0%)
  パームシュガー                          1回 (0.0%)
  アイスランドハーブ                        1回 (0.0%)
  アロー                              1回 (0.0%)
  スパイス                             1回 (0.0%)
  きゅうり                             1回 (0.0%)
  ペティヤン                            1回 (0.0%)
  フルーツミックス                         1回 (0.0%)
  フルーツ                             1回 (0.0%)
  水                                1回 (0.0%)
  ハーブ                              1回 (0.0%)
  スイカ                              1回 (0.0%)
  セージ                              1回 (0.0%)
  オレガノ                             1回 (0.0%)
  コリアンダー                           1回 (0.0%)
  カルヴァドス                           1回 (0.0%)
  チリパウダー                           1回 (0.0%)
  タヒンペッパー                          1回 (0.0%)
  緑茶パウダー                           1回 (0.0%)
  しそじゅす                            1回 (0.0%)
  トマト                              1回 (0.0%)
  りんご                              1回 (0.0%)
  桜餅                               1回 (0.0%)
  ミツ                               1回 (0.0%)
  桜の葉                              1回 (0.0%)
  焦酒                               1回 (0.0%)
  ホットチョコレート                        1回 (0.0%)
  マシュマロ                            1回 (0.0%)
  バルサミコ酢                           1回 (0.0%)
  イチジク                             1回 (0.0%)
  ブラックティー                          1回 (0.0%)
  食用グリッター                          1回 (0.0%)
  ベルガモット                           1回 (0.0%)
  マンゴーラッシー                         1回 (0.0%)
  ケイパー                             1回 (0.0%)
  ライ麦パン                            1回 (0.0%)
  アルパカハーブ                          1回 (0.0%)
  コカの葉                             1回 (0.0%)
  ウォットルシード                         1回 (0.0%)
  コアラの葉                            1回 (0.0%)
  チャモロ                             1回 (0.0%)
  シルバーフレーク                         1回 (0.0%)
  エディブルグリッター                       1回 (0.0%)
  レッドブル                            1回 (0.0%)
  エナジードリンク                         1回 (0.0%)
  プロテインパウダー                        1回 (0.0%)
  チョコレート                           1回 (0.0%)
  サボイアルディ                          1回 (0.0%)
  パイクラスト                           1回 (0.0%)
  クレープ                             1回 (0.0%)
  フランベアルコール                        1回 (0.0%)
  コーンフレーク                          1回 (0.0%)
  ヘーゼルナッツ                          1回 (0.0%)
